#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
40.2%,2012500,8049.9999998372905,-3490305.1438299455,569539.2618182627,311.31545109348446,112,2:33:27
40.3%,2015000,8059.999999837054,-3489279.633042041,571052.0745320123,312.14236857569165,112,2:33:19
40.4%,2017500,8069.999999836818,-3488729.947654685,569624.2672657189,311.3619158606995,112,2:33:12
40.4%,2020000,8079.999999836581,-3488795.3630931824,567406.3726922369,310.149594084292,112,2:33:04
40.5%,2022500,8089.999999836345,-3489989.0066765975,569788.4605311493,311.4516654248134,112,2:32:56
40.5%,2025000,8099.999999836108,-3487857.3280857354,568655.0329978911,310.83212340646065,112,2:32:48
40.5%,2027500,8109.999999835872,-3485251.204911871,568364.7147615199,310.6734327616261,112,2:32:41
40.6%,2030000,8119.999999835635,-3488508.36060966,568745.7589755678,310.8817150686336,112,2:32:33
40.6%,2032500,8129.999999835399,-3487647.679563975,570721.4194153618,311.96162941739766,112,2:32:25
40.7%,2035000,8139.999999835162,-3490585.01932803,568538.0921334999,310.7682024436933,112,2:32:17
40.8%,2037500,8149.999999834926,-3492023.8336048424,568466.9639243747,310.72932310385886,112,2:32:10
40.8%,2040000,8159.999999834689,-3490817.5449082013,568359.9989709181,310.670855066677,112,2:32:02
40.9%,2042500,8169.999999834453,-3487945.907284992,569829.4689785842,311.4740810231184,112,2:31:54
40.9%,2045000,8179.999999834216,-3487846.287899671,568071.0524813386,310.5129142313812,112,2:31:46
41.0%,2047500,8189.99999983398,-3490013.354713518,569778.8160857501,311.4463936813687,112,2:31:39
41.0%,2050000,8199.999999835562,-3491443.867694827,568130.2336942109,310.54526323208535,112,2:31:31
41.0%,2052500,8209.999999837599,-3485921.8136514537,570778.2320492717,311.9926837308387,112,2:31:23
41.1%,2055000,8219.999999839636,-3488605.7819681615,569177.5592538675,311.11774111184616,112,2:31:16
41.1%,2057500,8229.999999841673,-3486957.398623336,567335.382981166,310.1107904487806,112,2:31:08
41.2%,2060000,8239.99999984371,-3489784.235805461,569236.1081393916,311.149744476548,112,2:31:00
41.2%,2062500,8249.999999845748,-3487248.8904503807,569164.5544176551,311.1106325475675,112,2:30:52
41.3%,2065000,8259.999999847785,-3490251.809999764,568869.1466728041,310.94915993012023,112,2:30:44
41.4%,2067500,8269.999999849822,-3487461.5953428,570320.2722977204,311.74235867654534,112,2:30:37
41.4%,2070000,8279.99999985186,-3490147.68176643,567765.587387332,310.3459441734604,112,2:30:29
41.5%,2072500,8289.999999853897,-3488249.6755322646,567629.592748873,310.2716082407927,112,2:30:21
41.5%,2075000,8299.999999855934,-3487129.1534911282,568362.940737427,310.67246306357754,112,2:30:14
41.5%,2077500,8309.999999857971,-3489966.3192597255,568434.7387277063,310.71170851201254,112,2:30:06
41.6%,2080000,8319.999999860009,-3486482.5032654777,568951.1085550184,310.99396105630166,112,2:29:58
41.6%,2082500,8329.999999862046,-3488366.7255684976,569152.6940325086,311.10414955087253,112,2:29:50
41.7%,2085000,8339.999999864083,-3488680.2857506666,569017.7854073724,311.03040724317526,112,2:29:43
41.8%,2087500,8349.99999986612,-3487684.8702147044,569626.1133240203,311.3629249333155,112,2:29:35
41.8%,2090000,8359.999999868158,-3489083.1092483886,567765.9306635943,310.34613181145414,112,2:29:27
41.9%,2092500,8369.999999870195,-3485436.6794001255,569753.6694603786,311.4326483023478,112,2:29:19
41.9%,2095000,8379.999999872232,-3488617.6435269173,569075.4837430049,311.0619456894053,112,2:29:12
42.0%,2097500,8389.99999987427,-3488561.681786988,570556.1441570746,311.8712884259373,112,2:29:04
42.0%,2100000,8399.999999876307,-3486679.822888339,568393.6123482106,310.68922845094767,112,2:28:56
42.0%,2102500,8409.999999878344,-3487848.1089528296,568779.6676633682,310.90024987237103,112,2:28:48
42.1%,2105000,8419.999999880381,-3487995.8761840686,569181.3300995196,311.1198022911079,112,2:28:41
42.1%,2107500,8429.999999882419,-3488606.441053087,571861.6976277016,312.584916080574,112,2:28:33
42.2%,2110000,8439.999999884456,-3487526.323709417,569362.3628473679,311.2187564727373,112,2:28:25
42.2%,2112500,8449.999999886493,-3491000.951807063,569387.0787405766,311.232266409557,112,2:28:17
42.3%,2115000,8459.99999988853,-3490322.9673093166,570039.663471428,311.58897528545276,112,2:28:10
42.4%,2117500,8469.999999890568,-3488897.2200229242,569980.4626880216,311.5566155873128,112,2:28:02
42.4%,2120000,8479.999999892605,-3488969.6785141397,569658.0454231723,311.38037931533677,112,2:27:54
42.5%,2122500,8489.999999894642,-3488523.762172105,569749.6343451858,311.43044267090033,112,2:27:46
42.5%,2125000,8499.99999989668,-3490912.49841745,570520.7346966553,311.8519332859453,112,2:27:39
42.5%,2127500,8509.999999898717,-3486055.042936627,569105.1201704593,311.07814523595164,112,2:27:31
42.6%,2130000,8519.999999900754,-3487438.3814528733,568887.9146736129,310.9594186937026,112,2:27:23
42.6%,2132500,8529.999999902791,-3488190.673152067,566743.1810499728,309.78708737208785,112,2:27:16
42.7%,2135000,8539.999999904829,-3492299.261523744,570217.5504635031,311.6862099677549,112,2:27:08
42.8%,2137500,8549.999999906866,-3484987.149525022,570404.4972026097,311.78839679194266,112,2:27:01
42.8%,2140000,8559.999999908903,-3490855.8332348857,568496.547791199,310.7454939202765,112,2:26:53
42.9%,2142500,8569.99999991094,-3491649.1151077114,569648.0438188235,311.3749123454925,112,2:26:45
42.9%,2145000,8579.999999912978,-3488667.4369315766,567120.380971102,309.99326835287553,112,2:26:38
43.0%,2147500,8589.999999915015,-3488347.4069435354,570300.3099250473,311.73144705820704,112,2:26:30
43.0%,2150000,8599.999999917052,-3490750.406235473,567406.9333137298,310.1499005252077,112,2:26:23
43.0%,2152500,8609.99999991909,-3489390.445575053,567931.264110811,310.4365046095239,112,2:26:15
43.1%,2155000,8619.999999921127,-3488508.2056706958,569405.5044350869,311.24233806533687,112,2:26:08
43.1%,2157500,8629.999999923164,-3486998.954577757,566528.3619882944,309.6696652774699,112,2:26:00
